kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
9360;1000-1100;;TWN;Sound of Hope;M;FE;;1;;[0617]
9360;1100-1400;;TWN;Sound of Hope;M;FE;;1;;[0418]
9360;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
9360;1500-1600;;TWN;Sound of Hope;M;FE;;1;;[1215]
9360;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
9360;1700-1900;;TWN;Sound of Hope;M;FE;;1;;
9360;1900-2000;;TWN;Sound of Hope;M;FE;;1;;
9360;2000-2100;;TWN;Sound of Hope;M;FE;;1;;
9360;2100-2200;;TWN;Sound of Hope;M;FE;;1;;
9360;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
9360;2300-0100;;TWN;Sound of Hope;M;FE;;1;;
9370;0100-0300;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
9370;2200-2300;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
9370;0430-0630;;USA;Radio Farda;FS;IRN;/D-L;0;;
9370;0630-1100;;USA;Radio Farda;FS;IRN;/KWT;0;;
9370;0100-0300;;USA;Radio Free Asia;TB;FE;/TJK;0;;
9370;2200-2300;;USA;Radio Free Asia;TB;FE;/KWT;0;;
9370;1700-1900;;USA;VoA Deewa Radio;PS;AFG;/KWT;6;2503;0404
9370;1430-1530;;USA;Voice of America;BR;SEA;/PHL-t;6;2503;1304
9370;1430-1530;;USA;Voice of America;BR;SEA;/THA-u;6;1404;2810
9370;1530-1630;;USA;Voice of America;BR;SEA;/PHL-t;0;;
9370;1400-0200;;USA;WWRB Manchester, TN;E;NAm;ma;8;;
9371;1730-1740;Th;POL;E11 Polish Spy Numbers;E;;p;1;0103;3004[0317]
9371;1730-1740;Th;POL;E11 Polish Spy Numbers;E;;p;1;0109;3110[1016]
9380;1330-1347;25Jan;IND;AIR Delhi;E;SAs;a;1;0101;2501[0117]
9380;1347-1404;25Jan;IND;AIR Delhi;HI;SAs;a;1;0101;2501[0117]
9380;1512-1530;;IND;AIR Delhi;HI;SAs;a;1;;[0117]
9380;1530-1545;;IND;AIR Delhi;E;SAs;a;1;;[0217]
9380;1320-0043;;IND;AIR National Channel;HI;SAs;a;1;;
9380;1430-1435;;IND;AIR National Channel;E;SAs;a;1;;[0318]
9380;1435-1500;135;IND;AIR National Channel;E;SAs;a;1;;
9380;2135-2140;;IND;AIR National Channel;E;SAs;a;1;;
9380;0100-0435;;IND;AIR Vividh Bharati;HI;SAs;a;1;;[0317]
9380;0830-1200;;IND;AIR Vividh Bharati;HI;SAs;a;1;;
9380;1000-1600;;PHL;FEBC Manila;M;FE;b;6;2503;2605
9390;0000-0030;;S;IBRA Radio;BE;SAs;/UZB;0;;
9390;1500-1530;;S;IBRA Radio;BE;SAs;/UZB;0;;
9390;1200-1215;;THA;Radio Thailand;MAL;INS;u;0;;
9390;1230-1300;;THA;Radio Thailand;E;AUS;u;0;;
9390;1300-1315;;THA;Radio Thailand;J;J;u;0;;
9390;1315-1330;;THA;Radio Thailand;M;FE;u;0;;
9390;1330-1400;;THA;Radio Thailand;T;SEA;u;0;;
9390;1400-1430;;THA;Radio Thailand;E;AUS;u;0;;
9390;1800-1900;;THA;Radio Thailand;T;Eu;u;0;;
9390;1900-2000;;THA;Radio Thailand;E;Eu;u;0;;
9390;2000-2015;;THA;Radio Thailand;D;Eu;u;0;;
9390;2030-2045;;THA;Radio Thailand;E;Eu;u;0;;
9390;2045-2115;;THA;Radio Thailand;T;Eu;u;0;;
9390;1600-1700;;USA;Radio Liberty;UZ;CAs;/THA-u;0;;
9395;0200-0230;Tu-Sa;ALB;Radio Tirana;E;ENA;/USA-o;1;0604;
9395;0200-0230;Tu-Sa;ALB;Radio Tirana;I;ENA;/USA-o;6;2503;0504
9395;0100-0200;Tu-Sa;ARG;R.Argentina al Exterior;E;ENA;/USA-o;1;;
9395;1900-2000;Tu-Sa;ARG;R.Argentina al Exterior;D;ENA;/USA-o;1;2803;
9395;2000-2100;Tu-Sa;ARG;R.Argentina al Exterior;I;ENA;/USA-o;1;2803;
9395;0300-0330;;CZE;Radio Prague;E;ENA;/USA-o;1;;
9395;0030-0100;Sa;I;Radio IBC;E;ENA;/USA-o;1;;
9395;0330-0400;;SVK;Radio Slovakia Int.;E;ENA;/USA-o;1;;
9395;0000-0030;Su;USA;Adventist World Radio;E;SAm;o;1;;
9395;1000-1900;;USA;Brother Stair;E;ENA;o;1;2104;
9395;1500-1800;;USA;Brother Stair;E;ENA;o;6;2503;2004
9395;0000-0100;Fr;USA;V.o.Report of the Week;E;ENA;o;1;;
9395;2000-2100;Su;USA;V.o.Report of the Week;E;ENA;o;1;;
9395;1900-1930;Su;USA;World of Radio;E;ENA;o;1;2104;
9395;0000-0030;Sa;USA;WRMI Radio Miami Int.;E;ENA;o;1;;
9395;0000-0100;Mo-Th;USA;WRMI Radio Miami Int.;E;ENA;o;1;;
9395;0030-0100;Su;USA;WRMI Radio Miami Int.;E;ENA;o;1;;
9395;0230-0300;;USA;WRMI Radio Miami Int.;E;ENA;o;1;;
9395;0400-1000;;USA;WRMI Radio Miami Int.;E;ENA;o;1;2104;
9395;0400-1500;;USA;WRMI Radio Miami Int.;E;ENA;o;6;2503;2004
9395;1800-1900;;USA;WRMI Radio Miami Int.;E;ENA;o;1;2803;
9395;1800-2000;;USA;WRMI Radio Miami Int.;E;ENA;o;6;2503;2703
9395;1900-2000;Su-Mo;USA;WRMI Radio Miami Int.;E;ENA;o;1;2803;
9395;2000-2100;Mo-Sa;USA;WRMI Radio Miami Int.;E;ENA;o;1;;
9395;2100-2200;;USA;WRMI Radio Miami Int.;E;ENA;o;1;;
9395;2200-2400;;USA;WRMI Radio Miami Int.;E;ENA;o;1;;
9399;0900-0910;Mo,We;POL;E11 Polish Spy Numbers;E;;p;1;0103;3004[0418]
9399;0900-0910;Mo,We;POL;E11 Polish Spy Numbers;E;;p;1;0109;3110[1017]
9400;0800-1300;irr;EGY;Unknown Station;-MX;ME;;1;;[0518]
9400;0300-0315;;G;Bible Voice Dardasha-7;A;ME;/BUL-s;0;;
9400;1700-1800;;G;Bible Voice;FS;IRN;/BUL-s;0;;
9400;1845-1900;;G;Bible Voice Dardasha-7;A;ME;/BUL-s;1;;[0318]
9400;1800-1830;;G;End Times Coming Radio;E;Eu;/BUL-s;2;;
9400;1500-1600;Sa;HOL;Mighty KBC;E;Eu;/BUL-s;1;;
9400;1000-1400;;PHL;FEBC Manila;M;FE;i;1;;
9400;1500-1600;Su;USA;From the Isle of Music;E;Eu;/BUL-s;1;;
9400;1600-1630;Sa;USA;Shortwave Radiogram;E;Eu;/BUL-s;1;;
9405;2230-0030;;PHL;FEBC Manila;M;FE;b;1;;
9405;1600-1700;;TWN;Radio Taiwan Int.;E;SAs;p;1;;
9410;1000-1705;;CHN;China National Radio 5;M;CHN;B;4;;
9410;2200-2300;;CHN;China Radio Int.;P;SAm;ka;0;;
9410;0100-0200;;G;BBC;E;SAs;/UZB;6;2704;2810
9410;0200-0300;;G;BBC;E;SAs;/OMA-a;0;;
9410;0300-0400;;G;BBC;A;EAf;/UAE;0;;
9410;0400-0500;;G;BBC;A;EAf;/UAE;0;;
9410;0500-0600;;G;BBC;E;SAf;/MDG;0;;
9410;0700-0800;;G;BBC;E;WAf;/ASC;0;;
9410;1000-1100;;G;BBC;E;FE;/SNG;6;0205;2810
9410;1000-1100;;G;BBC;E;SEA;/SNG;6;0205;2810
9410;1100-1200;;G;BBC;E;FE;/SNG;6;0205;2810
9410;1100-1200;;G;BBC;E;SEA;/SNG;6;0205;2810
9410;1500-1600;;G;BBC;UR;SAs;/SNG;0;;
9410;1600-1700;;G;BBC;E;EAf;/AFS;0;;
9410;1700-1800;;G;BBC;E;EAf;/AFS;0;;
9410;1800-1900;;G;BBC;E;EAf;/UAE;0;;
9410;1900-2000;;G;BBC;E;EAf;/UAE;0;;
9410;2000-2100;;G;BBC;E;WAf;w;0;;
9410;2100-2200;Mo-Fr;G;BBC;E;WAf;/ASC;0;;
9410;0400-0700;Mo-Fr;TWN;Fu Hsing Bc.Sta.;M;FE;y;8;;[0515]
9410;0800-1000;Mo-Fr;TWN;Fu Hsing Bc.Sta.;M;FE;y;8;;[1016]
9410;1100-1300;Mo-Fr;TWN;Fu Hsing Bc.Sta.;M;FE;y;8;;[0318]
9410;2300-0100;Mo-Fr;TWN;Fu Hsing Bc.Sta.;M;FE;y;1;;[0418]
9415;1400-1500;;TWN;Radio Taiwan Int.;T;SEA;k;4;;
9420;0900-1100;;CHN;China National Radio 6;HK;CHN;B;5;;
9420;1100-1605;;CHN;China National Radio 6;M;CHN;B;5;;
9420;2155-0100;;CHN;China National Radio 6;AM;CHN;B;5;;
9420;1100-1805;;CHN;China National Radio 13;UI;CHN;L;1;;
9420;0500-1200;;GRC;Voice of Greece;GR;Eu;a;2;;[0518]
9420;0651-0654;Mo-Fr;GRC;Voice of Greece;A;Eu;a;2;;[0518]
9420;0654-0658;Mo-Fr;GRC;Voice of Greece;SR;Eu;a;2;;[0518]
9420;0804-0809;Mo-Fr;GRC;Voice of Greece;S;Eu;a;2;;[0518]
9420;0905-0905;Mo-Fr;GRC;Voice of Greece;R;Eu;a;2;;[0617]
9420;1005-1009;Mo-Fr;GRC;Voice of Greece;RO;Eu;a;2;;[0617]
9420;1052-1056;Mo-Fr;GRC;Voice of Greece;PO;Eu;a;2;;[0817]
9420;1056-1100;Mo-Fr;GRC;Voice of Greece;AL;Eu;a;2;;[0617]
9420;1200-1600;;GRC;Voice of Greece;GR;Eu;a;2;;[1217]
9420;1201-1205;Mo-Fr;GRC;Voice of Greece;E;Eu;a;2;;[0317]
9420;1600-2100;;GRC;Voice of Greece;GR;Eu;a;2;;[0518]
9420;2100-0500;;GRC;Voice of Greece;GR;NAm;a;2;;[0418]
9425;1430-1630;;KRE;Voice of Korea;R;Eu;u;6;2503;0405
9425;1630-1730;;KRE;Voice of Korea;D;Eu;u;6;2503;0405
9425;1730-1830;;KRE;Voice of Korea;R;Eu;u;6;2503;0405
9425;1830-1930;;KRE;Voice of Korea;D;Eu;u;6;2503;0405
9425;1930-2030;;KRE;Voice of Korea;D;Eu;u;6;2503;0405
9425;2030-2130;;KRE;Voice of Korea KCBS;K;Eu;u;6;2503;0405
9425;1300-1400;;KRE;Voice of Korea;K;Eu;u;8;;
9425;1400-1600;;KRE;Voice of Korea;R;Eu;u;1;0505;
9425;1600-1700;;KRE;Voice of Korea;D;Eu;u;1;0505;
9425;1700-1800;;KRE;Voice of Korea;R;Eu;u;1;0505;
9425;1800-1900;;KRE;Voice of Korea;D;Eu;u;1;0505;
9425;1900-2000;;KRE;Voice of Korea;D;Eu;u;1;0505;
9425;2000-2100;;KRE;Voice of Korea KCBS;K;Eu;u;1;0505;
9435;0000-0100;;CHN;China Radio Int.;M;INS;k;0;;
9435;1400-1500;;CHN;China Radio Int.;UR;SAs;ka;0;;
9435;1500-1600;;CHN;China Radio Int.;UR;SAs;ka;0;;
9435;1700-1800;;CHN;China Radio Int.;HR;SEu;ka;0;;
9435;1700-1800;;CHN;China Radio Int.;CA;SAf;u;0;;
9435;1330-1430;;KRE;Voice of Korea;E;NAm;u;6;2503;0405
9435;1430-1530;;KRE;Voice of Korea;F;NAm;u;6;2503;0405
9435;1530-1630;;KRE;Voice of Korea;E;NAm;u;6;2503;0405
9435;1630-1730;;KRE;Voice of Korea;F;NAm;u;6;2503;0405
9435;1730-1830;;KRE;Voice of Korea KCBS;K;NAm;u;6;2503;0405
9435;1300-1400;;KRE;Voice of Korea;E;NAm;u;1;0505;
9435;1400-1500;;KRE;Voice of Korea;F;NAm;u;1;0505;
9435;1500-1600;;KRE;Voice of Korea;E;NAm;u;1;0505;
9435;1600-1700;;KRE;Voice of Korea;F;NAm;u;1;0505;
9435;1700-1800;;KRE;Voice of Korea KCBS;K;NAm;u;1;0505;
9440;1100-1200;;CHN;China Radio Int.;AM;SEA;k;0;;
9440;1200-1300;;CHN;China Radio Int.;KH;SEA;k;0;;
9440;1300-1400;;CHN;China Radio Int.;EO;INS;n;0;;
9440;1900-2000;;CHN;China Radio Int.;E;ME;k;0;;
9440;2000-2100;;CHN;China Radio Int.;E;ME;k;0;;
9440;0300-0400;;G;BBC;E;ME;/OMA-a;0;;
9440;0600-0629;;G;BBC;F;NAf;w;0;;
9440;0700-0729;;G;BBC;F;WAf;/ASC;0;;
9443;1205-1215;Fr;POL;E11 Polish Spy Numbers;E;;p;1;0103;3004
9443;1205-1215;Fr;POL;E11 Polish Spy Numbers;E;;p;1;0109;3110[1016]
9443;1540-1550;Sa;POL;E11 Polish Spy Numbers;E;;p;1;0111;2802[0216]
9443;1705-1715;We,Sa;POL;E11 Polish Spy Numbers;E;;p;1;0111;2802[0117]
9445;0000-0100;;CHN;China Radio Int.;R;Sib;h;0;;
9445;2300-2400;;CHN;China Radio Int.;R;Sib;h;0;;
9445;1500-1600;;G;BBC;UR;SAs;/UAE;0;;
9445;1745-1945;;IND;All India Radio GOS;E;WAf;b;1;;
9445;1945-2045;;IND;All India Radio GOS;HI;Eu;b;1;;
9445;2045-2230;;IND;All India Radio GOS;E;Eu;b;1;;
9445;2245-0045;;IND;All India Radio GOS;E;FE;b;1;;
9445;0430-0530;;KRE;Voice of Korea;E;FE;u;6;2503;0405
9445;0530-0630;;KRE;Voice of Korea;M;FE;u;6;2503;0405
9445;0630-0730;;KRE;Voice of Korea;E;FE;u;6;2503;0405
9445;0830-0930;;KRE;Voice of Korea;M;FE;u;6;2503;0405
9445;0930-1030;;KRE;Voice of Korea KCBS;K;FE;u;6;2503;0405
9445;1130-1230;;KRE;Voice of Korea;M;FE;u;6;2503;0405
9445;2130-2230;;KRE;Voice of Korea;M;FE;u;6;2503;0405
9445;2230-2330;;KRE;Voice of Korea;M;FE;u;6;2503;0405
9445;2330-0030;;KRE;Voice of Korea KCBS;K;FE;u;6;2503;0405
9445;0300-0400;;KRE;Voice of Korea;K;FE;u;8;;
9445;0400-0500;;KRE;Voice of Korea;E;FE;u;1;0505;
9445;0500-0600;;KRE;Voice of Korea;M;FE;u;1;0505;
9445;0600-0700;;KRE;Voice of Korea;E;FE;u;1;0505;
9445;0700-0800;;KRE;Voice of Korea;K;FE;u;8;;
9445;0800-0900;;KRE;Voice of Korea;M;FE;u;1;0505;
9445;0900-1000;;KRE;Voice of Korea KCBS;K;FE;u;1;0505;
9445;1000-1100;;KRE;Voice of Korea;K;FE;u;8;;
9445;1100-1200;;KRE;Voice of Korea;M;FE;u;1;0505;
9445;2100-2200;;KRE;Voice of Korea;M;FE;u;1;0505;
9445;2200-2300;;KRE;Voice of Korea;M;FE;u;1;0505;
9445;2300-2400;;KRE;Voice of Korea KCBS;K;FE;u;1;0505;
9446;0830-0840;Mo,Fr;POL;E11 Polish Spy Numbers;E;;p;1;0111;2802[0116]
9446;0900-0910;Mo,We;POL;E11 Polish Spy Numbers;E;;p;1;0111;2802[0218]
9450;0200-0300;;CHN;China Radio Int.;UR;SAs;ka;0;;
9450;0300-0400;;CHN;China Radio Int.;M;SAs;ka;0;;
9450;1300-1400;;CHN;China Radio Int.;HI;SAs;ka;0;;
9450;1730-1830;;CHN;China Radio Int.;HA;NIG;ka;0;;
9450;2230-0030;;CHN;CNR1 Jammer/Firedrake;M;CHN;;1;;
9450;1215-1225;;EGY;E25 Egypt Spy Numbers;E;ME;;1;;[1215]
9450;2300-2330;;PHL;FEBC Manila;MIE;SEA;b;1;;
9450;2230-0030;;TWN;Radio Taiwan Int.;M;FE;s;1;;
9455;1000-1100;Mo;ARG;La Rosa de Tokio;S;WNA;/USA-o;6;2503;1405
9455;2100-2200;Mo;ARG;La Rosa de Tokio;S;WNA;/USA-o;6;2503;1405
9455;0100-0200;Tu-Sa;ARG;R.Argentina al Exterior;E;WNA;/USA-o;6;2503;1405
9455;0800-0900;Tu-Sa;ARG;R.Argentina al Exterior;J;WNA;/USA-o;6;2503;1405
9455;0900-1000;Tu-Sa;ARG;R.Argentina al Exterior;M;WNA;/USA-o;6;2503;1405
9455;1315-1345;;BGD;Bangladesh Betar;NE;SAs;k;1;;[0318]
9455;1500-1600;;CHN;China Radio Int.;M;SEA;k;0;;
9455;1015-1030;Fr;CYP;FG Radio;E;WNA;/USA-o;6;2503;1305
9455;2100-2115;We;CYP;FG Radio;E;WNA;/USA-o;6;2503;1305
9455;2330-2400;;CZE;Radio Prague;E;WNA;/USA-o;6;2104;1305
9455;0030-0100;Sa;I;Radio IBC;E;WNA;/USA-o;6;2503;1305
9455;1030-1100;Tu;I;Studio DX;I;WNA;/USA-o;6;2503;1305
9455;2130-2200;Fr;I;Studio DX;I;WNA;/USA-o;6;2503;1305
9455;0400-0430;;J;NHK Radio Japan;S;WNA;/USA-o;6;2503;1305
9455;2000-2030;Mo;RUS;Radiopanorama;R;WNA;/USA-o;6;2503;1305
9455;0430-0500;;SVK;Radio Slovakia Int.;S;WNA;/USA-o;6;2503;1305
9455;1400-1430;;SVK;Radio Slovakia Int.;S;WNA;/USA-o;6;2503;1305
9455;0300-0400;;TWN;Radio Taiwan Int.;S;WNA;/USA-o;6;2503;1305
9455;0000-0030;Su;USA;Adventist World Radio;E;WNA;o;6;2503;1305
9455;0830-0900;Mo;USA;Adventist World Radio;E;WNA;o;6;2104;1305
9455;1000-1030;We;USA;Adventist World Radio;E;WNA;o;6;2503;1305
9455;1030-1100;Su;USA;Adventist World Radio;E;WNA;o;6;2503;1305
9455;2030-2100;Mo,Fr;USA;Adventist World Radio;E;WNA;o;6;2503;2004
9455;2030-2100;Mo;USA;Adventist World Radio;E;WNA;o;6;2104;1305
9455;2100-2130;Tu;USA;Adventist World Radio;E;WNA;o;6;2503;1305
9455;2130-2200;Th;USA;Adventist World Radio;E;WNA;o;6;2503;1305
9455;1000-1030;Tu;USA;Blues Radio Int.;E;WNA;o;6;2503;1305
9455;0200-0300;;USA;Family Radio;s;WNA;o;6;2503;1305
9455;1030-1100;Fr;USA;Frecuencia al Día;S;WNA;o;6;2503;1305
9455;2130-2200;We;USA;Frecuencia al Día;S;WNA;o;6;2503;1305
9455;0000-0100;Fr;USA;V.o.Report of the Week;E;WNA;o;6;2503;1305
9455;1000-1100;Th;USA;V.o.Report of the Week;E;WNA;o;6;2503;1305
9455;2000-2100;Th;USA;V.o.Report of the Week;E;WNA;o;6;2503;1305
9455;2100-2200;Su;USA;V.o.Report of the Week;E;WNA;o;6;2503;1305
9455;1030-1100;We;USA;World of Radio;E;WNA;o;6;2503;1305
9455;2030-2100;Tu;USA;World of Radio;E;WNA;o;6;2503;1305
9455;2130-2200;Tu;USA;World of Radio;E;WNA;o;6;2503;1305
9455;0000-0030;Sa;USA;WRMI Radio Miami Int.;E;WNA;o;6;2503;1305
9455;0000-0100;Mo-Th;USA;WRMI Radio Miami Int.;E;WNA;o;6;2503;1305
9455;0030-0100;Su;USA;WRMI Radio Miami Int.;E;WNA;o;6;2503;1305
9455;0500-0800;;USA;WRMI Radio Miami Int.;E;WNA;o;6;2503;1305
9455;0800-0830;Mo;USA;WRMI Radio Miami Int.;E;WNA;o;6;2503;1305
9455;0800-0900;Su;USA;WRMI Radio Miami Int.;E;WNA;o;6;2503;1305
9455;1000-1015;Fr;USA;WRMI Radio Miami Int.;E;WNA;o;6;2503;1305
9455;1000-1030;SaSu;USA;WRMI Radio Miami Int.;E;WNA;o;6;2503;1305
9455;1030-1100;Sa;USA;WRMI Radio Miami Int.;E;WNA;o;6;2503;1305
9455;1100-1400;;USA;WRMI // 9955;E;WNA;o;6;2503;1305
9455;1430-1500;;USA;WRMI Radio Miami Int.;E;WNA;o;6;2503;1305
9455;1500-2000;;USA;WRMI Radio Miami Int.;E;WNA;o;6;2503;1305
9455;2000-2015;Sa;USA;WRMI Radio Miami Int.;E;WNA;o;6;2503;1305
9455;2000-2030;Tu,Fr;USA;WRMI Radio Miami Int.;E;WNA;o;6;2503;2004
9455;2000-2030;Tu;USA;WRMI Radio Miami Int.;E;WNA;o;6;2104;1305
9455;2000-2100;We,Su;USA;WRMI Radio Miami Int.;E;WNA;o;6;2503;2004
9455;2000-2100;357;USA;WRMI Radio Miami Int.;E;WNA;o;6;2104;1305
9455;2015-2030;Sa;USA;WRMI Radio Miami Int.;I;WNA;o;6;2503;1305
9455;2030-2045;Sa;USA;WRMI Radio Miami Int.;E;WNA;o;6;2503;1305
9455;2045-2100;Sa;USA;WRMI Radio Miami Int.;I;WNA;o;6;2503;1305
9455;2115-2130;We;USA;WRMI Radio Miami Int.;E;WNA;o;6;2503;1305
9455;2100-2130;Th-Fr;USA;WRMI Radio Miami Int.;E;WNA;o;6;2503;1305
9455;2100-2130;Sa;USA;WRMI Radio Miami Int.;S;WNA;o;6;2503;1305
9455;2130-2200;Sa;USA;WRMI Radio Miami Int.;I;WNA;o;6;2503;1305
9455;2200-2300;;USA;WRMI // 9955;E;WNA;o;6;2503;1305
9455;2300-2330;Mo-Fr;USA;WRMI Radio Miami Int.;E;WNA;o;6;2104;1305
9455;2300-2400;;USA;WRMI Radio Miami Int.;E;WNA;o;6;2503;2004
9459;0015-0030;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
9459;0115-0130;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
9459;0215-0230;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
9459;0315-0330;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
9459;0415-0430;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
9459;0915-0930;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
9459;1015-1030;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
9459;1115-1130;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
9459;1215-1230;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
9459;1315-1330;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
9459;1415-1430;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
9459;1515-1530;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
9459;1615-1630;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
9459;2115-2130;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
9459;2215-2230;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
9459;2315-2330;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
9460;0000-0100;;CHN;China Radio Int.;HK;INS;k;0;;
9460;0100-0200;;CHN;China Radio Int.;AM;INS;k;0;;
9460;0900-1000;;CHN;China Radio Int.;RO;EEu;/ALB-c;0;;
9460;0900-1100;;CHN;China Radio Int.;M;SEA;n;0;;
9460;1200-1300;;CHN;China Radio Int.;E;SAs;ka;0;;
9460;2300-2400;;CHN;China Radio Int.;CA;SEA;k;0;;
9460;1400-1430;;G;BBC;HI;SAs;/OMA-a;0;;
9460;0330-0700;;MYA;Thazin Radio;BR;SEA;p;1;;[0417]
9460;1600-2100;;TUR;Voice of Turkey;TU;Eu;e;0;;
9465;1300-1330;;CLA;Nippon no Kaze;K;KRE;/TWN-s;1;;
9465;1530-1600;;CLA;Nippon no Kaze;K;KRE;/TWN-s;1;;
9465;1450-1550;;IRN;IRIB Voice of I.R.Iran;UZ;CAs;s;0;;
9465.5;1330-1400;;PHL;FEBC Manila;M;SEA;b;1;;
9465;0200-0300;;TUR;Voice of Turkey;UI;FE;e;0;;
9470;2023-2400;;CHN;China National Radio 1;M;CHN;b;4;;
9470;0000-0100;;CHN;China Radio Int.;MO;MNG;x;0;;
9470;0100-0200;;CHN;China Radio Int.;E;Eu;ka;0;;
9470;1700-1800;;CHN;China Radio Int.;R;CAs;x;0;;
9470;2300-2400;;CHN;China Radio Int.;MO;MNG;x;0;;
9470;0345-1150;;CHN;PBS Xinjiang;KZ;CHN;uc;1;;
9470;1930-2000;Mo-Fr;USA;Voice of America;KNK;EAf;/STP;0;;
9470;1000-1300;;USA;WEWN EWTN Catholic R.;E;SEA;b;8;;
9475;1745-1800;Su;SWZ;Trans World Radio;SWA;EAf;;1;;
9475;1745-1800;Sa;SWZ;Trans World Radio;TUR;EAf;;1;;
9475;1745-1815;Mo-Fr;SWZ;Trans World Radio;SWA;EAf;;1;;
9475;1800-1815;Sa;SWZ;Trans World Radio;SWA;EAf;;1;;
9475;1300-1400;;USA;Adventist World Radio;M;FE;/GUM-a;0;;
9475;1400-0200;;USA;WTWW Lebanon, TN;E;NAm;L;1;;[0518]
9480;0000-0100;;CHN;China National Radio 11;TB;CHN;as;4;;
9480;0800-0900;Th-Tu;CHN;China National Radio 11;TB;CHN;as;4;;
9480;0900-1100;;CHN;China National Radio 11;TB;CHN;as;4;;
9480;1100-1300;;CHN;China National Radio 11;TB;CHN;as;1;;
9480;1300-1400;;CHN;China National Radio 11;TB;CHN;as;1;;
9480;1400-1500;;CHN;China National Radio 11;AMD;CHN;as;1;;
9480;1500-1600;;CHN;China National Radio 11;KHA;CHN;as;1;;
9480;1600-1605;;CHN;China National Radio 11;TB;CHN;as;1;;
9480;2155-2400;;CHN;China National Radio 11;TB;CHN;as;1;;
9480;1800-2000;;CHN;China Radio Int.;F;SEu;/ALB-c;0;;
9480;0100-0200;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
9480;1600-1700;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
9480;0430-0530;;G;BBC;FS;IRN;/UAE;0;;
9480;2000-2100;;J;NHK Radio Japan;J;Oc;y;0;;
9480;0100-0200;;USA;Radio Free Asia;TB;FE;/KWT;0;;
9480;1600-1700;;USA;Radio Free Asia;UI;FE;/KWT;0;;
9485;0900-1000;Su;D;Hamburger Lokalradio;D;CEu;g;2;;
9485;1000-1100;Su;D;Hamburger Lokalradio;E;CEu;g;2;;
9485;1100-1200;Su;D;Hamburger Lokalradio;S;CEu;g;2;;
9485;0900-1000;1.Su;D;MV Baltic Radio;D;Eu;g;1;;
9485;0900-1100;3.Fr;G;R.Geronimo Shortwave;E;Eu;/D-g;2;;
9485;0820-0830;We;RUS;S06 Russian Spy Numbers;R;FE;xx;1;0105;3108[0518]
9485;1030-1100;Su;USA;World of Radio;E;CEu;/D-g;2;;[0418]
9490;1030-1130;;CHN;China Radio Int.;KH;SEA;k;0;;
9490;1300-1400;;CHN;China Radio Int.;BE;SAs;k;0;;
9490;1400-1500;;CHN;China Radio Int.;BE;SAs;k;0;;
9490;1500-1600;;CHN;China Radio Int.;BE;SAs;k;0;;
9490;2330-0030;;CHN;China Radio Int.;SI;CLN;k;0;;
9490;0200-0700;;CHN;PBS Xizang;TB;CHN;t;1;;
9490;0700-0800;We-Mo;CHN;PBS Xizang;E;CHN;t;1;;
9490;0800-1000;We-Mo;CHN;PBS Xizang;TB;CHN;t;1;;[0418]
9490;0100-0300;;CLA;Radio Republica;S;CUB;/F;1;;[0418]
9490;1800-1900;;EGY;Radio Cairo;I;Eu;a;0;;[0418]
9490;1710-1730;Mo,We;G;Bible Voice;A;ME;/BUL-s;0;;
9490;1710-1745;245;G;Bible Voice;A;ME;/BUL-s;0;;
9490;1715-1745;Sa;G;Bible Voice;A;ME;/BUL-s;0;;
9490;1745-1800;;G;Bible Voice Dardasha-7;A;ME;/BUL-s;0;;[0418]
9490;1600-1630;Th-Su;G;FEBA Radio;AH;EAf;/ARM;6;2503;0404
9490;1600-1630;Mo-We;G;FEBA Radio;GUR;EAf;/ARM;6;2503;0404
9490;1630-1700;;G;FEBA Radio;AH;EAf;/ARM;6;2503;0404
9490;0300-0500;;J;NHK Radio Japan;J;ME;/D-n;0;;
9490;2200-2300;;MDG;MWV The Light of Life;M;FE;m;1;;
9490;1200-1300;;USA;Voice of America;K;FE;/MRA-t;0;;
